Spoof Ranges (m),Spoof Velocities (m/s),Estimated Ranges (m),Estimated velocities (m/s),Absolute Range Spoof Error (m),Absolute Velocity Spoof Error (m)
137.912412175233,18.7885899468718,142.250306690348,22.4750334777364,4.33789451511518,3.68644353086455
137.912412175233,18.7885899468718,145.370083686741,22.4497465101254,7.45767151150866,3.66115656325359
137.912412175233,18.7885899468718,144.461549855468,22.448025777486,6.54913768023496,3.65943583061414
137.912412175233,18.7885899468718,143.68545447501,22.4525577561314,5.77304229977733,3.6639678092596
137.912412175233,18.7885899468718,142.417872113182,22.4582145071333,4.50545993794884,3.66962456026149
137.912412175233,18.7885899468718,135.589197422036,22.4636959209881,2.32321475319659,3.6751059741163
137.912412175233,18.7885899468718,146.869259945402,22.4506105755668,8.95684777016936,3.66202062869502
137.912412175233,18.7885899468718,146.154129571986,22.4765439773296,8.24171739675299,3.68795403045774
137.912412175233,18.7885899468718,145.140899744558,22.45681886644,7.22848756932515,3.66822891956815
137.912412175233,18.7885899468718,144.365349449127,22.4935932649813,6.45293727389429,3.70500331810948
137.912412175233,18.7885899468718,143.577641532396,22.490948627514,5.66522935716276,3.70235868064214
137.912412175233,18.7885899468718,142.348073203699,22.4739277072701,4.43566102846671,3.68533776039824
137.912412175233,18.7885899468718,141.558793017471,22.4646706313866,3.64638084223824,3.67608068451479
137.912412175233,18.7885899468718,146.743715044718,22.4770196905321,8.83130286948528,3.68842974366027
137.912412175233,18.7885899468718,146.061396612634,22.4316552828262,8.14898443740108,3.64306533595434
178.49427733033,23.788775530616,175.405495401194,24.7767976430579,3.08878192913647,0.988022112441918
178.49427733033,23.788775530616,169.704939815681,27.2872134489321,8.78933751464882,3.49843791831608
178.49427733033,23.788775530616,162.492442413659,27.2836192875928,16.0018349166708,3.49484375697679
178.49427733033,23.788775530616,166.454472098001,24.7903969852265,12.0398052323289,1.00162145461047
178.49427733033,23.788775530616,171.546085916595,24.735544430958,6.94819141373517,0.946768900342018
178.49427733033,23.788775530616,170.634334637874,24.747502822647,7.8599426924564,0.958727292031018
178.49427733033,23.788775530616,163.982724681764,24.7829347290803,14.511552648566,0.99415919846431
178.49427733033,23.788775530616,169.151090448617,24.812244282271,9.34318688171348,1.02346875165504
178.49427733033,23.788775530616,168.443839060278,24.7565790776092,10.0504382700517,0.967803546993231
178.49427733033,23.788775530616,167.468972056474,24.8226504461302,11.025305273856,1.03387491551425
178.49427733033,23.788775530616,172.766535940772,24.8227014729577,5.72774138955822,1.03392594234171
178.49427733033,23.788775530616,165.930421546846,24.753298188243,12.5638557834843,0.96452265762699
178.49427733033,23.788775530616,159.055701099474,24.8188334100142,19.4385762308555,1.03005787939821
178.49427733033,23.788775530616,158.127818761251,24.7668631302036,20.3664585690795,0.978087599587575
178.49427733033,23.788775530616,151.418889192386,24.7736944168306,27.0753881379439,0.984918886214611
166.119071450518,6.82893293547525,171.156692786522,7.73692370663639,5.03762133600381,0.907990771161137
166.119071450518,6.82893293547525,170.354420646319,7.77647253531096,4.23534919580138,0.947539599835711
166.119071450518,6.82893293547525,169.516377946973,7.75264940293504,3.39730649645526,0.92371646745979
166.119071450518,6.82893293547525,168.937988184623,7.76463290343492,2.8189167341055,0.935699967959663
166.119071450518,6.82893293547525,167.80473438943,7.75199782040422,1.68566293891246,0.923064884928964
166.119071450518,6.82893293547525,167.078998113203,7.71406879361579,0.959926662684921,0.885135858140539
166.119071450518,6.82893293547525,166.197802683768,7.74622301295259,0.0787312332504086,0.91729007747734
166.119071450518,6.82893293547525,165.529552447124,7.76401107107764,0.589519003394429,0.935078135602388
166.119071450518,6.82893293547525,164.726359325218,7.72668461816795,1.39271212529994,0.897751682692696
166.119071450518,6.82893293547525,163.885072327356,7.76824214288122,2.23399912316162,0.939309207405972
166.119071450518,6.82893293547525,163.108175989534,7.71025412864021,3.01089546098373,0.88132119316496
166.119071450518,6.82893293547525,162.434260351992,7.74099781754885,3.68481109852627,0.9120648820736
166.119071450518,6.82893293547525,161.371266525787,7.72066068661839,4.74780492473144,0.891727751143143
166.119071450518,6.82893293547525,160.657492673425,7.72822734291755,5.46157877709337,0.899294407442299
166.119071450518,6.82893293547525,159.933175913302,7.72160661480015,6.18589553721571,0.892673679324894
101.625673272694,-20.080402258565,105.397875309051,-19.3494817776583,3.77220203635721,0.730920480906715
101.625673272694,-20.080402258565,104.662261646139,-19.3946943663496,3.03658837344551,0.685707892215447
101.625673272694,-20.080402258565,103.905208684834,-19.3517147006253,2.2795354121404,0.728687557939747
101.625673272694,-20.080402258565,103.38006077383,-19.3862488827998,1.75438750113609,0.694153375765207
101.625673272694,-20.080402258565,102.864897283339,-19.3315445410246,1.23922401064536,0.748857717540389
101.625673272694,-20.080402258565,102.14617730934,-19.3704844545381,0.520504036645704,0.70991780402694
101.625673272694,-20.080402258565,107.186316365062,-19.4093804454703,5.56064309236805,0.671021813094775
101.625673272694,-20.080402258565,100.616142277795,-19.3425163753468,1.00953099489875,0.737885883218208
101.625673272694,-20.080402258565,105.709310290519,-19.3791289607714,4.0836370178247,0.701273297793676
101.625673272694,-20.080402258565,104.969078360926,-19.367794156588,3.34340508823244,0.712608101977075
101.625673272694,-20.080402258565,104.274160059747,-19.4342620068074,2.64848678705299,0.646140251757604
101.625673272694,-20.080402258565,103.722387088684,-19.4247652795645,2.09671381599043,0.655636979000587
101.625673272694,-20.080402258565,103.091639347901,-19.3956177619928,1.46596607520738,0.684784496572231
101.625673272694,-20.080402258565,102.453622311846,-19.3865299267552,0.827949039151818,0.693872331809843
101.625673272694,-20.080402258565,107.898274359385,-19.3723321825231,6.27260108669125,0.70807007604197
105.851483087481,16.9509928025385,109.27135051872,20.2578908763897,3.41986743123931,3.30689807385117
105.851483087481,16.9509928025385,106.949724315554,20.2791522950319,1.09824122807262,3.32815949249341
105.851483087481,16.9509928025385,106.225590426111,17.7167714281134,0.374107338630111,0.765778625574825
105.851483087481,16.9509928025385,111.382677520416,17.7326291268399,5.53119443293527,0.781636324301381
105.851483087481,16.9509928025385,110.574934468785,17.7112090037267,4.72345138130385,0.760216201188218
105.851483087481,16.9509928025385,110.205421895781,20.2698276444401,4.35393880830011,3.31883484190157
105.851483087481,16.9509928025385,109.430896417858,17.7691110895045,3.57941333037738,0.81811828696598
105.851483087481,16.9509928025385,108.621299740803,17.7349436882407,2.7698166533218,0.78395088570214
105.851483087481,16.9509928025385,108.26289223298,20.263179571847,2.4114091454995,3.31218676930844
