Spoof Ranges (m),Spoof Velocities (m/s),Estimated Ranges (m),Estimated velocities (m/s),Absolute Range Spoof Error (m),Absolute Velocity Spoof Error (m)
53.1533336388201,17.6425677854248,52.8429070433418,17.6261763056168,0.31042659547834,0.0163914798080711
52.5652293925933,17.6425677854248,52.657749885064,17.6272186524412,0.0925204924707188,0.0153491329835909
51.9771251463665,17.6425677854248,52.3252546575372,17.6073718523922,0.348129511170612,0.0351959330326466
51.3890209001398,17.6425677854248,51.5441941843583,17.6266485778436,0.15517328421857,0.0159192075812804
50.800916653913,17.6425677854248,51.045021254861,17.6239324765594,0.244104600948063,0.0186353088654414
79.5288554459762,-21.9975082179528,80.231000191873,-22.0387716493478,0.702144745896831,0.0412634313949987
80.2621289777392,-21.9975082179528,81.0055774445462,-22.0121932306344,0.743448466807067,0.0146850126815679
80.9954025095022,-21.9975082179528,81.4452122745387,-22.0023702710818,0.44980976503652,0.0048620531289707
81.7286760412652,-21.9975082179528,82.0292780227576,-22.011383093687,0.300601981492377,0.0138748757341389
82.4619495730282,-21.9975082179528,83.0188702067041,-22.0238755814288,0.556920633675873,0.0263673634759662
53.3394014190813,-12.3021842337195,52.9495187636425,-12.3020981844979,0.389882655438839,8.60492216130382e-05
53.7494872338963,-12.3021842337195,55.0552549066039,-12.2999657576975,1.30576767270758,0.00221847602202807
54.1595730487113,-12.3021842337195,55.2748367490356,-12.3063792082527,1.11526370032428,0.00419497453321149
54.5696588635263,-12.3021842337195,55.5223474934947,-12.3083894817583,0.952688629968485,0.0062052480387802
54.9797446783412,-12.3021842337195,55.8454120782872,-12.3062365598658,0.865667399945998,0.00405232614634876
65.6301864727063,7.40031210081325,67.0611289688326,7.3921594733555,1.43094249612635,0.00815262745774437
65.3835015783743,7.40031210081325,65.7670123976202,7.39927187487085,0.383510819245828,0.00104022594239161
65.1368166840424,7.40031210081325,65.6930360834501,7.40020702603007,0.556219399407723,0.000105074783172121
64.8901317897105,7.40031210081325,65.2837019020773,7.40037090798582,0.393570112366803,5.88071725777795e-05
64.6434468953785,7.40031210081325,65.0278053700098,7.41147376237616,0.38435847463127,0.0111616615629186
97.4060232768374,19.9328866347889,95.6724300529256,19.9891721152603,1.73359322391184,0.0562854804714128
96.741572647425,19.9328866347889,96.6344326165258,19.9666828919624,0.107140030899203,0.0337962571734529
96.0771220180126,19.9328866347889,96.5019058313449,19.9786987766578,0.424783813332255,0.0458121418688471
95.4126713886002,19.9328866347889,95.9458430568945,19.9702348291554,0.533171668294301,0.037348194366448
94.7482207591878,19.9328866347889,95.3457617367041,19.9855030316186,0.59754097751626,0.0526163968296878
95.8642302801776,-7.72843599399433,94.7984374805523,-7.70917260216022,1.0657927996253,0.0192633918341105
96.121852984539,-7.72843599399433,97.0875842890755,-7.73049087514195,0.965731304536476,0.00205488114761554
96.3794756889004,-7.72843599399433,97.4965702733046,-7.74908491694772,1.11709458440417,0.0206489229533879
96.6370983932618,-7.72843599399433,0,0,96.6370983932618,7.72843599399433
96.8947210976231,-7.72843599399433,97.8525257118041,-7.72639240033186,0.957804614180986,0.00204359366246809
94.3229774640337,9.11696797664985,94.2544710651017,9.13426701869131,0.068506398931973,0.0172990420414667
94.0190688921641,9.11696797664985,94.7159514844929,9.14081083168799,0.69688259232889,0.0238428550381471
93.7151603202944,9.11696797664985,94.5540013359654,9.13381019318861,0.838841015670994,0.0168422165387625
93.4112517484248,9.11696797664985,94.1988146470694,9.10569147083986,0.787562898644524,0.0112765058099829
93.1073431765552,9.11696797664985,93.9392181525482,9.11718100127623,0.831874975993031,0.00021302462638495
70.6317870229138,3.2621352173288,72.6711548534232,3.24041941146673,2.03936783050943,0.0217158058620708
70.5230457333005,3.2621352173288,70.636172150989,3.24076674933644,0.113126417688477,0.0213684679923536
70.4143044436872,3.2621352173288,70.6912348217936,3.25796060635938,0.276930378106357,0.00417461096942207
70.3055631540739,3.2621352173288,70.5288313479492,3.24018841192095,0.223268193875327,0.0219468054078522
70.1968218644606,3.2621352173288,70.4680774635767,3.26104987076988,0.271255599116103,0.0010853465589169
94.1576771128963,17.2132625313994,95.7234547196271,17.2557495042985,1.5657776067308,0.04248697289907
93.5838834957055,17.2132625313994,94.4597252280037,17.2324092609608,0.875841732298255,0.0191467295613563
93.0100898785147,17.2132625313994,93.6352839914848,17.1905518298822,0.62519411297005,0.0227107015171981
92.4362962613239,17.2132625313994,93.3989176436989,17.2416886064686,0.962621382374962,0.0284260750691523
91.8625026441332,17.2132625313994,92.4868338705429,17.213479435576,0.624331226409737,0.000216904176554067
59.9507070966675,13.6180768200063,60.3276823219961,13.6383219476551,0.376975225328543,0.0202451276488329
59.4967568043578,13.6180768200063,60.4372580151122,13.6482208686262,0.940501210754434,0.0301440486199542
59.042806512048,13.6180768200063,59.5623029808944,13.6400286744436,0.51949646884632,0.0219518544372672
58.5888562197383,13.6180768200063,59.2514798320266,13.6390584534551,0.662623612288328,0.0209816334488391
58.1349059274285,13.6180768200063,58.8445811608967,13.6561857640204,0.709675233468126,0.0381089440140681
95.3798785964308,-2.44090064263492,97.1866214012697,-2.45953566240996,1.80674280483888,0.0186350197750365
95.4612445319347,-2.44090064263492,96.1551234081142,-2.44744274319481,0.693878876179497,0.00654210055989068
95.5426104674385,-2.44090064263492,96.3249691497922,-2.42329641964805,0.782358682353646,0.0176042229868645
95.6239764029424,-2.44090064263492,96.1666943114429,-2.44385973442656,0.542717908500492,0.00295909179164244
95.7053423384462,-2.44090064263492,96.1837357766288,-2.46650933327125,0.478393438182565,0.0256086906363353
